"J","FPU","LND","RIQFPU","Val"
"jbarl","EAC_TZA","air","ARA",0.0128690310274373
"jbarl","EAC_TZA","air","YLD",1.89555079526786
"jbarl","EAC_TZA","arf","QS",14.5522909189427
"jbarl","EAC_TZA","arf","ARA",7.67788309165523
"jbarl","EAC_TZA","arf","YLD",1.89535197986526
"jbarl","EAU_AUS","air","QS",53.4730820674798
"jbarl","EAU_AUS","air","ARA",19.3015937327669
"jbarl","EAU_AUS","air","YLD",2.77039724324434
"jbarl","EAU_AUS","arf","QS",703.218875001539
"jbarl","EAU_AUS","arf","ARA",281.862263403495
"jbarl","EAU_AUS","arf","YLD",2.49490253328044
"jbarl","EGH_IND","air","QS",2.39613188166937
"jbarl","EGH_IND","air","ARA",0.82426130358507
"jbarl","EGH_IND","air","YLD",2.9070051830015
"jbarl","EGH_IND","arf","QS",2.44212613584215
"jbarl","EGH_IND","arf","ARA",0.84045243484131
"jbarl","EGH_IND","arf","YLD",2.9057279562802
"jbarl","ELB_DEU","air","QS",228.308536416647
"jbarl","ELB_DEU","air","ARA",26.0176678612587
"jbarl","ELB_DEU","air","YLD",8.77513455987371
"jbarl","ELB_DEU","arf","QS",4683.40341590125
"jbarl","ELB_DEU","arf","ARA",708.472597026205
"jbarl","ELB_DEU","arf","YLD",6.61056395908567
"jbarl","ELB_DNK","air","QS",1493.63783988355
"jbarl","ELB_DNK","air","ARA",163.091237727514
"jbarl","ELB_DNK","air","YLD",9.15829605989662
"jbarl","ELB_DNK","arf","QS",2420.1732672314
"jbarl","ELB_DNK","arf","ARA",466.675424870142
"jbarl","ELB_DNK","arf","YLD",5.1859882441953
"jbarl","EME_CYP","air","QS",8.95976648008918
"jbarl","EME_CYP","air","ARA",3.57736678290492
"jbarl","EME_CYP","air","YLD",2.5045702674115
"jbarl","EME_CYP","arf","QS",16.7935701795892
"jbarl","EME_CYP","arf","ARA",8.43263344597692
"jbarl","EME_CYP","arf","YLD",1.99149770794332
"jbarl","EME_EGY","air","QS",2.26557728059885
"jbarl","EME_EGY","air","ARA",0.578833869917195
"jbarl","EME_EGY","air","YLD",3.91403716738785
"jbarl","EME_EGY","arf","QS",0.14824199791186
"jbarl","EME_EGY","arf","ARA",0.037959295337343
