"JJJ","CTY","RIQ","Val"
"jbeef","CYP","YLD",0.286353776365601
"jbeef","CZE","QS",73.1752592567396
"jbeef","CZE","QD",112.654198853817
"jbeef","CZE","QF",112.654198853817
"jbeef","CZE","QM",39.4789395970778
"jbeef","CZE","QN",-39.4789395970778
"jbeef","CZE","ARA",237.39333597819
"jbeef","CZE","YLD",0.308244791098358
"jbeef","DEU","QS",1056.67984006228
"jbeef","DEU","QD",1219.15354981389
"jbeef","DEU","QF",1214.48695268503
"jbeef","DEU","QW",4.66659712886255
"jbeef","DEU","QM",162.473709751612
"jbeef","DEU","QN",-162.473709751612
"jbeef","DEU","ARA",3190.5966796875
"jbeef","DEU","YLD",0.331185651508224
"jbeef","DJI","QS",6.36056738951419
"jbeef","DJI","QD",6.3333062492178
"jbeef","DJI","QF",6.3333062492178
"jbeef","DJI","QE",0.0272611402963958
"jbeef","DJI","QN",0.0272611402963958
"jbeef","DJI","ARA",58.5970001220703
"jbeef","DJI","YLD",0.108547662444558
"jbeef","DNK","QS",121.722695742296
"jbeef","DNK","QD",137.317171085782
"jbeef","DNK","QF",137.317171085782
"jbeef","DNK","QM",15.5944753434859
"jbeef","DNK","QN",-15.5944753434859
"jbeef","DNK","ARA",452.790008544922
"jbeef","DNK","YLD",0.26882813985552
"jbeef","DOM","QS",63.3430970458507
"jbeef","DOM","QD",69.6628202178941
"jbeef","DOM","QF",69.6628202178941
"jbeef","DOM","QM",6.31972317204333
"jbeef","DOM","QN",-6.31972317204333
"jbeef","DOM","ARA",491.325327555339
"jbeef","DOM","YLD",0.128922922335438
"jbeef","DZA","QS",143.521615009095
"jbeef","DZA","QD",163.978738537834
"jbeef","DZA","QF",163.978738537834
"jbeef","DZA","QM",20.4571235287388
"jbeef","DZA","QN",-20.4571235287388
"jbeef","DZA","ARA",639.827006022135
"jbeef","DZA","YLD",0.224313155990996
"jbeef","ECU","QS",225.058077336204
"jbeef","ECU","QD",231.29362088166
"jbeef","ECU","QF",231.29362088166
"jbeef","ECU","QM",6.23554354545598
"jbeef","ECU","QN",-6.23554354545598
"jbeef","ECU","ARA",1057.52400716146
"jbeef","ECU","YLD",0.212816045604762
"jbeef","EGY","QS",633.496913606107
"jbeef","EGY","QD",807.121193670504
"jbeef","EGY","QF",807.121193670504
"jbeef","EGY","QM",173.624280064397
"jbeef","EGY","QN",-173.624280064397
"jbeef","EGY","ARA",1947.66666666667
"jbeef","EGY","YLD",0.32525941140139
"jbeef","ERI","QS",24.11743036921
"jbeef","ERI","QD",24.11743036921
"jbeef","ERI","QF",24.11743036921
"jbeef","ERI","ARA",243.411666870117
"jbeef","ERI","YLD",0.0990808315777191
"jbeef","ETH","QS",425.669980306371
