"C","H","CTY","YRS","Val"
"cbeef","Urban","BGD","2040",0.599476617552438
"cbeef","Urban","BGD","2041",0.593481851376913
"cbeef","Urban","BGD","2042",0.587547032863144
"cbeef","Urban","BGD","2043",0.581671562534513
"cbeef","Urban","BGD","2044",0.575854846909167
"cbeef","Urban","BGD","2045",0.570096298440076
"cbeef","Urban","BGD","2046",0.564395335455675
"cbeef","Urban","BGD","2047",0.558751382101118
"cbeef","Urban","BGD","2048",0.553163868280107
"cbeef","Urban","BGD","2049",0.547632229597306
"cbeef","Urban","BGD","2050",0.542155907301333
"cbeef","Urban","BGR","2021",0.21708298822772
"cbeef","Urban","BGR","2022",0.183843032902822
"cbeef","Urban","BGR","2023",0.181544306457404
"cbeef","Urban","BGR","2024",0.179212966558985
"cbeef","Urban","BGR","2025",0.176851901199418
"cbeef","Urban","BGR","2026",0.174390424065716
"cbeef","Urban","BGR","2027",0.171905024481478
"cbeef","Urban","BGR","2028",0.169400419353611
"cbeef","Urban","BGR","2029",0.166881954158128
"cbeef","Urban","BGR","2030",0.164355662509533
"cbeef","Urban","BGR","2031",0.161869699742622
"cbeef","Urban","BGR","2032",0.159389963103174
"cbeef","Urban","BGR","2033",0.156924527479314
"cbeef","Urban","BGR","2034",0.154482383986305
"cbeef","Urban","BGR","2035",0.152073522129336
"cbeef","Urban","BGR","2036",0.149639198752837
"cbeef","Urban","BGR","2037",0.147265343047045
"cbeef","Urban","BGR","2038",0.144966820881513
"cbeef","Urban","BGR","2039",0.142760081829198
"cbeef","Urban","BGR","2040",0.140663301406142
"cbeef","Urban","BGR","2041",0.138881631071417
"cbeef","Urban","BGR","2042",0.137222052875467
"cbeef","Urban","BGR","2043",0.13570221223852
"cbeef","Urban","BGR","2044",0.134341338169892
"cbeef","Urban","BGR","2045",0.133160368355626
"cbeef","Urban","BGR","2046",0.132184659774555
"cbeef","Urban","BGR","2047",0.131434981523802
"cbeef","Urban","BGR","2048",0.130937996823338
"cbeef","Urban","BGR","2049",0.130722650761163
"cbeef","Urban","BGR","2050",0.130722650761163
"cbeef","Urban","BLR","2021",0.143058660391424
"cbeef","Urban","BLR","2022",0.120590324031574
"cbeef","Urban","BLR","2023",0.119384420791258
"cbeef","Urban","BLR","2024",0.118190576583346
"cbeef","Urban","BLR","2025",0.117008670817512
"cbeef","Urban","BLR","2026",0.115838584109337
"cbeef","Urban","BLR","2027",0.114680198268244
"cbeef","Urban","BLR","2028",0.113533396285561
"cbeef","Urban","BLR","2029",0.112398062322706
"cbeef","Urban","BLR","2030",0.111274081699479
"cbeef","Urban","BLR","2031",0.110161340882484
"cbeef","Urban","BLR","2032",0.109059727473659
"cbeef","Urban","BLR","2033",0.107969130198922
"cbeef","Urban","BLR","2034",0.106889438896933
"cbeef","Urban","BLR","2035",0.105820544507964
"cbeef","Urban","BLR","2036",0.104762339062884
"cbeef","Urban","BLR","2037",0.103714715672255
"cbeef","Urban","BLR","2038",0.102677568515533
"cbeef","Urban","BLR","2039",0.101650792830377
"cbeef","Urban","BLR","2040",0.100634284902074
"cbeef","Urban","BLR","2041",0.0996279420530529
"cbeef","Urban","BLR","2042",0.0986316626325224
"cbeef","Urban","BLR","2043",0.0976453460061971
"cbeef","Urban","BLR","2044",0.0966688925461352
"cbeef","Urban","BLR","2045",0.0957022036206738
"cbeef","Urban","BLR","2046",0.0947451815844671
"cbeef","Urban","BLR","2047",0.0937977297686224
"cbeef","Urban","BLR","2048",0.0928597524709362
"cbeef","Urban","BLR","2049",0.0919311549462268
"cbeef","Urban","BLR","2050",0.0910118433967645
"cbeef","Urban","BLT","2021",0.143058660391424
"cbeef","Urban","BLT","2022",0.120590324031574
"cbeef","Urban","BLT","2023",0.119384420791258
"cbeef","Urban","BLT","2024",0.118190576583346
"cbeef","Urban","BLT","2025",0.117008670817512
"cbeef","Urban","BLT","2026",0.115838584109337
"cbeef","Urban","BLT","2027",0.114680198268244
"cbeef","Urban","BLT","2028",0.113533396285561
"cbeef","Urban","BLT","2029",0.112398062322706
"cbeef","Urban","BLT","2030",0.111274081699479
"cbeef","Urban","BLT","2031",0.110161340882484
"cbeef","Urban","BLT","2032",0.109059727473659
"cbeef","Urban","BLT","2033",0.107969130198922
"cbeef","Urban","BLT","2034",0.106889438896933
"cbeef","Urban","BLT","2035",0.105820544507964
"cbeef","Urban","BLT","2036",0.104762339062884
"cbeef","Urban","BLT","2037",0.103714715672255
"cbeef","Urban","BLT","2038",0.102677568515533
"cbeef","Urban","BLT","2039",0.101650792830377
"cbeef","Urban","BLT","2040",0.100634284902074
"cbeef","Urban","BLT","2041",0.0996279420530529
"cbeef","Urban","BLT","2042",0.0986316626325224
"cbeef","Urban","BLT","2043",0.0976453460061971
"cbeef","Urban","BLT","2044",0.0966688925461352
"cbeef","Urban","BLT","2045",0.0957022036206738
"cbeef","Urban","BLT","2046",0.0947451815844671
"cbeef","Urban","BLT","2047",0.0937977297686224
"cbeef","Urban","BLT","2048",0.0928597524709362
"cbeef","Urban","BLT","2049",0.0919311549462268
"cbeef","Urban","BLT","2050",0.0910118433967645
"cbeef","Urban","BLX","2021",0.159612848972075
"cbeef","Urban","BLX","2022",0.158271647361129
"cbeef","Urban","BLX","2023",0.158186121966718
"cbeef","Urban","BLX","2024",0.158099735317238
"cbeef","Urban","BLX","2025",0.158012538602172
"cbeef","Urban","BLX","2026",0.157921379383624
"cbeef","Urban","BLX","2027",0.157829480074862
"cbeef","Urban","BLX","2028",0.157736916832335
"cbeef","Urban","BLX","2029",0.157643773208177
"cbeef","Urban","BLX","2030",0.157550140645613
"cbeef","Urban","BLX","2031",0.157454236203587
"cbeef","Urban","BLX","2032",0.157358042594549
"cbeef","Urban","BLX","2033",0.15726168577444
"cbeef","Urban","BLX","2034",0.157165302754348
"cbeef","Urban","BLX","2035",0.157069042333662
"cbeef","Urban","BLX","2036",0.156970159406315
"cbeef","Urban","BLX","2037",0.15687176940455
"cbeef","Urban","BLX","2038",0.156774079827145
"cbeef","Urban","BLX","2039",0.156677315360048
"cbeef","Urban","BLX","2040",0.156581719022367
"cbeef","Urban","BLX","2041",0.156493350842736
"cbeef","Urban","BLX","2042",0.156406474380206
"cbeef","Urban","BLX","2043",0.156321340038714
"cbeef","Urban","BLX","2044",0.15623821639504
"cbeef","Urban","BLX","2045",0.156157391309934
"cbeef","Urban","BLX","2046",0.156079057917273
"cbeef","Urban","BLX","2047",0.156003670758302
"cbeef","Urban","BLX","2048",0.155931584512764
"cbeef","Urban","BLX","2049",0.155863178414033
"cbeef","Urban","BLX","2050",0.155798857727948
"cbeef","Urban","BLZ","2021",0.46621620981988
"cbeef","Urban","BLZ","2022",0.385140940382117
"cbeef","Urban","BLZ","2023",0.380789530978296
"cbeef","Urban","BLZ","2024",0.376481635668513
"cbeef","Urban","BLZ","2025",0.372216819311828
"cbeef","Urban","BLZ","2026",0.367994651118709
"cbeef","Urban","BLZ","2027",0.363814704607522
"cbeef","Urban","BLZ","2028",0.359676557561447
"cbeef","Urban","BLZ","2029",0.355579791985833
"cbeef","Urban","BLZ","2030",0.351523994065974
"cbeef","Urban","BLZ","2031",0.347508754125315
"cbeef","Urban","BLZ","2032",0.343533666584062
"cbeef","Urban","BLZ","2033",0.339598329918221
"cbeef","Urban","BLZ","2034",0.335702346619039
"cbeef","Urban","BLZ","2035",0.331845323152848
"cbeef","Urban","BLZ","2036",0.32802686992132
"cbeef","Urban","BLZ","2037",0.324246601222107
"cbeef","Urban","BLZ","2038",0.320504135209886
"cbeef","Urban","BLZ","2039",0.316799093857787
"cbeef","Urban","BLZ","2040",0.313131102919209
"cbeef","Urban","BLZ","2041",0.309499791890017
"cbeef","Urban","BLZ","2042",0.305904793971117
"cbeef","Urban","BLZ","2043",0.302345746031405
"cbeef","Urban","BLZ","2044",0.298822288571091
"cbeef","Urban","BLZ","2045",0.29533406568538
"cbeef","Urban","BLZ","2046",0.291880725028527
"cbeef","Urban","BLZ","2047",0.288461917778241
"cbeef","Urban","BLZ","2048",0.285077298600459
"cbeef","Urban","BLZ","2049",0.281726525614454
"cbeef","Urban","BLZ","2050",0.27840926035831
"cbeef","Urban","BOL","2021",0.573763365105968
"cbeef","Urban","BOL","2022",0.473833872815628
"cbeef","Urban","BOL","2023",0.468470534087472
"cbeef","Urban","BOL","2024",0.463160828746597
"cbeef","Urban","BOL","2025",0.457904220459131
"cbeef","Urban","BOL","2026",0.45270017825454
"cbeef","Urban","BOL","2027",0.447548176471994
"cbeef","Urban","BOL","2028",0.442447694707274
"cbeef","Urban","BOL","2029",0.437398217760202
"cbeef","Urban","BOL","2030",0.4323992355826
"cbeef","Urban","BOL","2031",0.427450243226774
"cbeef","Urban","BOL","2032",0.422550740794506
"cbeef","Urban","BOL","2033",0.417700233386561
"cbeef","Urban","BOL","2034",0.412898231052695
"cbeef","Urban","BOL","2035",0.408144248742168
"cbeef","Urban","BOL","2036",0.403437806254747
"cbeef","Urban","BOL","2037",0.398778428192199
"cbeef","Urban","BOL","2038",0.394165643910277
"cbeef","Urban","BOL","2039",0.389598987471174
"cbeef","Urban","BOL","2040",0.385077997596463
"cbeef","Urban","BOL","2041",0.380602217620498
"cbeef","Urban","BOL","2042",0.376171195444293
"cbeef","Urban","BOL","2043",0.37178448348985
"cbeef","Urban","BOL","2044",0.367441638654952
"cbeef","Urban","BOL","2045",0.363142222268402
"cbeef","Urban","BOL","2046",0.358885800045718
"cbeef","Urban","BOL","2047",0.354671942045261
"cbeef","Urban","BOL","2048",0.350500222624808
"cbeef","Urban","BOL","2049",0.34637022039856
"cbeef","Urban","BOL","2050",0.342281518194575
"cbeef","Urban","BRA","2021",0.25734598562578
"cbeef","Urban","BRA","2022",0.146352644617988
"cbeef","Urban","BRA","2023",0.144539118171808
"cbeef","Urban","BRA","2024",0.14274372699009
"cbeef","Urban","BRA","2025",0.140966289720189
"cbeef","Urban","BRA","2026",0.139206626822987
"cbeef","Urban","BRA","2027",0.137464560554757
"cbeef","Urban","BRA","2028",0.13573991494921
"cbeef","Urban","BRA","2029",0.134032515799717
"cbeef","Urban","BRA","2030",0.13234219064172
"cbeef","Urban","BRA","2031",0.130668768735303
"cbeef","Urban","BRA","2032",0.12901208104795
"cbeef","Urban","BRA","2033",0.12737196023747
"cbeef","Urban","BRA","2034",0.125748240635096
