"SCENARIO","CTY","YRS","Val"
"IIASA_ssp1","AUS","2036",0.00602371886653974
"IIASA_ssp1","AUS","2037",0.0059247680603829
"IIASA_ssp1","AUS","2038",0.00585782220014422
"IIASA_ssp1","AUS","2039",0.00581407014234994
"IIASA_ssp1","AUS","2040",0.00577343752930464
"IIASA_ssp1","AUS","2041",0.00573229488202648
"IIASA_ssp1","AUS","2042",0.00570424137196843
"IIASA_ssp1","AUS","2043",0.00569018937420586
"IIASA_ssp1","AUS","2044",0.00568179204794417
"IIASA_ssp1","AUS","2045",0.00567998332832239
"IIASA_ssp1","AUS","2046",0.00566375452830123
"IIASA_ssp1","AUS","2047",0.00560669042271668
"IIASA_ssp1","AUS","2048",0.00549520305774892
"IIASA_ssp1","AUS","2049",0.00534425552972015
"IIASA_ssp1","AUS","2050",-1
"IIASA_ssp1","AUT","2005",0.00495062953728918
"IIASA_ssp1","AUT","2006",0.00326067623971135
"IIASA_ssp1","AUT","2007",0.00318389211838561
"IIASA_ssp1","AUT","2008",0.0026203167201477
"IIASA_ssp1","AUT","2009",0.00238447246775433
"IIASA_ssp1","AUT","2010",0.00339245248228792
"IIASA_ssp1","AUT","2011",0.0045806323637046
"IIASA_ssp1","AUT","2012",0.00591988753014438
"IIASA_ssp1","AUT","2013",0.00784553264039453
"IIASA_ssp1","AUT","2014",0.0112748375261107
"IIASA_ssp1","AUT","2015",0.0108841608155866
"IIASA_ssp1","AUT","2016",0.00698329929314251
"IIASA_ssp1","AUT","2017",0.00488962995834292
"IIASA_ssp1","AUT","2018",0.00445980931535359
"IIASA_ssp1","AUT","2019",0.00238295542441444
"IIASA_ssp1","AUT","2020",0.00443214883553715
"IIASA_ssp1","AUT","2021",0.00384182138214947
"IIASA_ssp1","AUT","2022",0.00329741872304092
"IIASA_ssp1","AUT","2023",0.00280393354739698
"IIASA_ssp1","AUT","2024",0.00236961392358857
"IIASA_ssp1","AUT","2025",0.00200306304025006
"IIASA_ssp1","AUT","2026",0.00171204555869324
"IIASA_ssp1","AUT","2027",0.00150096947702177
"IIASA_ssp1","AUT","2028",0.00137573170582917
"IIASA_ssp1","AUT","2029",0.0013225846531009
"IIASA_ssp1","AUT","2030",0.00132094734647531
"IIASA_ssp1","AUT","2031",0.00133836173183089
"IIASA_ssp1","AUT","2032",0.00133569833639007
"IIASA_ssp1","AUT","2033",0.00128882679423402
"IIASA_ssp1","AUT","2034",0.00121520421645888
"IIASA_ssp1","AUT","2035",0.00114207079749904
"IIASA_ssp1","AUT","2036",0.00110062841770779
"IIASA_ssp1","AUT","2037",0.00108214148182233
"IIASA_ssp1","AUT","2038",0.00110452537374581
"IIASA_ssp1","AUT","2039",0.00114916943532411
"IIASA_ssp1","AUT","2040",0.00119950850041719
"IIASA_ssp1","AUT","2041",0.00124068968933876
"IIASA_ssp1","AUT","2042",0.00127167058038541
"IIASA_ssp1","AUT","2043",0.00128785849180098
"IIASA_ssp1","AUT","2044",0.00129148219807372
"IIASA_ssp1","AUT","2045",0.00128841737318651
"IIASA_ssp1","AUT","2046",0.00127644133829875
"IIASA_ssp1","AUT","2047",0.00122736818512255
"IIASA_ssp1","AUT","2048",0.00114095158492785
"IIASA_ssp1","AUT","2049",0.00101874673911089
"IIASA_ssp1","AUT","2050",-1
"IIASA_ssp1","AZE","2005",0.0123745463747443
"IIASA_ssp1","AZE","2006",0.0131293916193151
"IIASA_ssp1","AZE","2007",0.0136606651798393
"IIASA_ssp1","AZE","2008",0.0133262279081431
"IIASA_ssp1","AZE","2009",0.0128924666664029
"IIASA_ssp1","AZE","2010",0.0131871094089365
"IIASA_ssp1","AZE","2011",0.0135229515885457
"IIASA_ssp1","AZE","2012",0.0135893170852249
"IIASA_ssp1","AZE","2013",0.0132510567265821
"IIASA_ssp1","AZE","2014",0.0124821383304791
"IIASA_ssp1","AZE","2015",0.0114328817009823
"IIASA_ssp1","AZE","2016",0.00955459407183942
"IIASA_ssp1","AZE","2017",0.00803792498227904
"IIASA_ssp1","AZE","2018",0.00790261808359663
"IIASA_ssp1","AZE","2019",0.00398465593765421
"IIASA_ssp1","AZE","2020",0.0038306221417433
"IIASA_ssp1","AZE","2021",0.0040254512778729
"IIASA_ssp1","AZE","2022",0.00417725999442749
"IIASA_ssp1","AZE","2023",0.00428923925872472
"IIASA_ssp1","AZE","2024",0.00436496133111603
"IIASA_ssp1","AZE","2025",0.00440300973719428
"IIASA_ssp1","AZE","2026",0.0044069662399972
"IIASA_ssp1","AZE","2027",0.00437676097571519
"IIASA_ssp1","AZE","2028",0.00431713033212937
"IIASA_ssp1","AZE","2029",0.00422876799044155
"IIASA_ssp1","AZE","2030",0.00411224600998072
"IIASA_ssp1","AZE","2031",0.00397089042018764
"IIASA_ssp1","AZE","2032",0.00380672886761036
"IIASA_ssp1","AZE","2033",0.00362227105681343
"IIASA_ssp1","AZE","2034",0.00341829208868595
"IIASA_ssp1","AZE","2035",0.00319945402820834
"IIASA_ssp1","AZE","2036",0.00296373472557226
"IIASA_ssp1","AZE","2037",0.0027056502082198
"IIASA_ssp1","AZE","2038",0.00242120005673689
"IIASA_ssp1","AZE","2039",0.00211977013598289
"IIASA_ssp1","AZE","2040",0.00181012128544393
"IIASA_ssp1","AZE","2041",0.00149971220422676
"IIASA_ssp1","AZE","2042",0.00119366920425289
"IIASA_ssp1","AZE","2043",0.000892048626228029
"IIASA_ssp1","AZE","2044",0.000601297407879609
"IIASA_ssp1","AZE","2045",0.000311692929931761
"IIASA_ssp1","AZE","2046",2.92654086191101E-5
"IIASA_ssp1","AZE","2047",-0.000228191692152874
"IIASA_ssp1","AZE","2048",-0.000456756918134347
"IIASA_ssp1","AZE","2049",-0.000660969762474722
"IIASA_ssp1","AZE","2050",-1
"IIASA_ssp1","BDI","2005",0.0364487175956233
"IIASA_ssp1","BDI","2006",0.0374004848012702
"IIASA_ssp1","BDI","2007",0.0419780858958519
"IIASA_ssp1","BDI","2008",0.0520960765314883
"IIASA_ssp1","BDI","2009",0.0479069888669277
"IIASA_ssp1","BDI","2010",0.0360624221130189
"IIASA_ssp1","BDI","2011",0.0359301600415325
"IIASA_ssp1","BDI","2012",0.0361491765742136
"IIASA_ssp1","BDI","2013",0.0340245690029957
"IIASA_ssp1","BDI","2014",0.0221284360398426
"IIASA_ssp1","BDI","2015",0.0164236562959864
"IIASA_ssp1","BDI","2016",0.0231365608342953
"IIASA_ssp1","BDI","2017",0.0302879013244748
"IIASA_ssp1","BDI","2018",0.0331810512445216
"IIASA_ssp1","BDI","2019",0.0150786899156014
"IIASA_ssp1","BDI","2020",0.0253256727389777
"IIASA_ssp1","BDI","2021",0.024264659239198
"IIASA_ssp1","BDI","2022",0.0232625505576676
"IIASA_ssp1","BDI","2023",0.0223249380227385
"IIASA_ssp1","BDI","2024",0.0214595512344588
"IIASA_ssp1","BDI","2025",0.0206732342661232
"IIASA_ssp1","BDI","2026",0.0199718162878564
"IIASA_ssp1","BDI","2027",0.0193581331683222
"IIASA_ssp1","BDI","2028",0.0188302883230507
"IIASA_ssp1","BDI","2029",0.0183722465014523
"IIASA_ssp1","BDI","2030",0.0179628452166019
"IIASA_ssp1","BDI","2031",0.0175671227159256
"IIASA_ssp1","BDI","2032",0.0171458776662115
"IIASA_ssp1","BDI","2033",0.0166834551413803
"IIASA_ssp1","BDI","2034",0.0161970751746492
"IIASA_ssp1","BDI","2035",0.0157095208796903
"IIASA_ssp1","BDI","2036",0.0152551590991463
"IIASA_ssp1","BDI","2037",0.0148475101663276
"IIASA_ssp1","BDI","2038",0.0144972611863988
"IIASA_ssp1","BDI","2039",0.0141863909992102
"IIASA_ssp1","BDI","2040",0.013883695117687
"IIASA_ssp1","BDI","2041",0.0135609160947805
"IIASA_ssp1","BDI","2042",0.01320795420529
"IIASA_ssp1","BDI","2043",0.0128118031726226
"IIASA_ssp1","BDI","2044",0.0123820963866639
"IIASA_ssp1","BDI","2045",0.0119475079091574
"IIASA_ssp1","BDI","2046",0.0115132309762992
"IIASA_ssp1","BDI","2047",0.0110548232530912
"IIASA_ssp1","BDI","2048",0.0105707642374537
"IIASA_ssp1","BDI","2049",0.0100690987812337
"IIASA_ssp1","BDI","2050",-1
"IIASA_ssp1","BEN","2005",0.0310711720676038
"IIASA_ssp1","BEN","2006",0.0291729459499051
"IIASA_ssp1","BEN","2007",0.0299161846584439
"IIASA_ssp1","BEN","2008",0.0298710987413255
"IIASA_ssp1","BEN","2009",0.0297840902840767
"IIASA_ssp1","BEN","2010",0.0297141257626015
"IIASA_ssp1","BEN","2011",0.029579143032703
"IIASA_ssp1","BEN","2012",0.0294237757373285
"IIASA_ssp1","BEN","2013",0.0296945875149226
"IIASA_ssp1","BEN","2014",0.0299523478630489
"IIASA_ssp1","BEN","2015",0.0299375726227457
"IIASA_ssp1","BEN","2016",0.0299015518045175
"IIASA_ssp1","BEN","2017",0.0296552184729579
"IIASA_ssp1","BEN","2018",0.0292914974255868
"IIASA_ssp1","BEN","2019",0.0143508241036699
"IIASA_ssp1","BEN","2020",0.0270577377297915
"IIASA_ssp1","BEN","2021",0.0262279889654493
"IIASA_ssp1","BEN","2022",0.0253913763749745
"IIASA_ssp1","BEN","2023",0.024560817568262
"IIASA_ssp1","BEN","2024",0.0237474807197458
"IIASA_ssp1","BEN","2025",0.0229608485093184
"IIASA_ssp1","BEN","2026",0.0222084309917538
"IIASA_ssp1","BEN","2027",0.0214979568161034
"IIASA_ssp1","BEN","2028",0.0208296305462559
"IIASA_ssp1","BEN","2029",0.0202042862036696
"IIASA_ssp1","BEN","2030",0.0196097725672709
"IIASA_ssp1","BEN","2031",0.0190327460501575
"IIASA_ssp1","BEN","2032",0.0184594489132325
"IIASA_ssp1","BEN","2033",0.0178810095436434
"IIASA_ssp1","BEN","2034",0.01731154816381
"IIASA_ssp1","BEN","2035",0.0167479608819514
"IIASA_ssp1","BEN","2036",0.0162213940390564
"IIASA_ssp1","BEN","2037",0.0157681863622128
"IIASA_ssp1","BEN","2038",0.0153993522542097
"IIASA_ssp1","BEN","2039",0.0150913478730615
"IIASA_ssp1","BEN","2040",0.0148024852484919
"IIASA_ssp1","BEN","2041",0.0144984207292707
"IIASA_ssp1","BEN","2042",0.0141724867369119
"IIASA_ssp1","BEN","2043",0.0138088954615594
"IIASA_ssp1","BEN","2044",0.0134184890839485
"IIASA_ssp1","BEN","2045",0.0130261713959971
