"J","FPU","FCTR","Val"
"jmaiz","DAN_SVK","air",-0.8448
"jmaiz","DAN_SVK","arf",-0.6336
"jmaiz","DAN_SVN","air",-0.6336
"jmaiz","DAN_SVN","arf",-0.6336
"jmaiz","DAN_TUR","air",-0.6072
"jmaiz","DAN_TUR","arf",-0.4554
"jmaiz","DAN_UKR","air",-0.7128
"jmaiz","DAN_UKR","arf",-0.5346
"jmaiz","DNI_BLR","air",-0.8448
"jmaiz","DNI_BLR","arf",-0.6336
"jmaiz","DNI_RUS","air",-0.7128
"jmaiz","DNI_RUS","arf",-0.5346
"jmaiz","DNI_UKR","air",-0.7128
"jmaiz","DNI_UKR","arf",-0.5346
"jmaiz","DOM_DOM","air",-0.6336
"jmaiz","DOM_DOM","arf",-0.4752
"jmaiz","EAC_BDI","air",-0.5016
"jmaiz","EAC_BDI","arf",-0.3762
"jmaiz","EAC_COD","air",-0.4224
"jmaiz","EAC_COD","arf",-0.3168
"jmaiz","EAC_RWA","air",-0.5016
"jmaiz","EAC_RWA","arf",-0.3762
"jmaiz","EAC_TZA","air",-0.6688
"jmaiz","EAC_TZA","arf",-0.3762
"jmaiz","EAU_AUS","air",-0.6072
"jmaiz","EAU_AUS","arf",-0.506
"jmaiz","EGH_IND","air",-0.8712
"jmaiz","EGH_IND","arf",-0.8712
"jmaiz","ELB_DEU","air",-0.8448
"jmaiz","ELB_DEU","arf",-0.704
"jmaiz","ELB_DNK","air",-0.8448
"jmaiz","ELB_DNK","arf",-0.704
"jmaiz","EME_EGY","air",-0.528
"jmaiz","EME_EGY","arf",-0.396
"jmaiz","EME_ISR","air",-0.8448
"jmaiz","EME_ISR","arf",-0.704
"jmaiz","EME_LBN","air",-0.7656
"jmaiz","EME_LBN","arf",-0.5742
"jmaiz","EME_SYR","air",-0.7656
"jmaiz","EME_SYR","arf",-0.5742
"jmaiz","EME_TUR","air",-0.6072
"jmaiz","EME_TUR","arf",-0.4554
"jmaiz","FJI_FJI","air",-0.4224
"jmaiz","FJI_FJI","arf",-0.352
"jmaiz","GAN_BGD","air",-0.2904
"jmaiz","GAN_BGD","arf",-0.2178
"jmaiz","GAN_CHM","air",-0.7128
"jmaiz","GAN_CHM","arf",-0.5346
"jmaiz","GAN_IND","air",-0.8712
"jmaiz","GAN_IND","arf",-0.8712
"jmaiz","GAN_NPL","air",-0.528
"jmaiz","GAN_NPL","arf",-0.396
"jmaiz","GBA_USA","air",-1.584
"jmaiz","GBA_USA","arf",-1.584
"jmaiz","GEO_GEO","air",-0.66
"jmaiz","GEO_GEO","arf",-0.495
"jmaiz","GLA_CAN","air",-0.9856
"jmaiz","GLA_CAN","arf",-0.8448
"jmaiz","GLA_USA","air",-1.584
"jmaiz","GLA_USA","arf",-1.584
"jmaiz","GOD_IND","air",-0.8712
"jmaiz","GOD_IND","arf",-0.8712
"jmaiz","GRC_GRC","air",-0.8448
"jmaiz","GRC_GRC","arf",-0.704
"jmaiz","GSA_GSA","air",-0.7392
"jmaiz","GSA_GSA","arf",-0.4752
"jmaiz","GTM_GTM","air",-0.6336
"jmaiz","GTM_GTM","arf",-0.4752
"jmaiz","HAI_CHM","air",-0.7128
"jmaiz","HAI_CHM","arf",-0.5346
"jmaiz","HND_HND","air",-0.6336
"jmaiz","HND_HND","arf",-0.4752
"jmaiz","HOA_ETH","air",-0.5632
"jmaiz","HOA_ETH","arf",-0.3168
"jmaiz","HOA_KEN","air",-0.6688
"jmaiz","HOA_KEN","arf",-0.3762
"jmaiz","HOA_SOM","air",-0.4224
