"C","J","CTY","Val"
"csoyb","jsbolt","FRP",-0.5
"csoyb","jsbolt","GAB",-0.5
"csoyb","jsbolt","GRC",-0.5
"csoyb","jsbolt","HND",-0.5
"csoyb","jsbolt","HRV",-0.5
"csoyb","jsbolt","IRN",-0.5
"csoyb","jsbolt","IRQ",-0.5
"csoyb","jsbolt","ITP",-0.5
"csoyb","jsbolt","JPN",-0.5
"csoyb","jsbolt","KHM",-0.5
"csoyb","jsbolt","KOR",-0.5
"csoyb","jsbolt","LAO",-0.5
"csoyb","jsbolt","LKA",-0.5
"csoyb","jsbolt","MEX",-0.5
"csoyb","jsbolt","MMR",-0.5
"csoyb","jsbolt","MOR",-0.5
"csoyb","jsbolt","NPL",-0.5
"csoyb","jsbolt","PAK",-0.5
"csoyb","jsbolt","PER",-0.5
"csoyb","jsbolt","PHL",-0.5
"csoyb","jsbolt","POL",-0.5
"csoyb","jsbolt","SPP",-0.5
"csoyb","jsbolt","THA",-0.5
"csoyb","jsbolt","TUR",-0.5
"csoyb","jsbolt","VEN",-0.5
"csoyb","jsbolt","VNM",-0.5
"csoyb","jsbolt","ZWE",-0.5
"csbnt","jsboln","ARG",-0.5
"csbnt","jsboln","AUS",-0.5
"csbnt","jsboln","AUT",-0.5
"csbnt","jsboln","AZE",-0.5
"csbnt","jsboln","BEN",-0.5
"csbnt","jsboln","BGD",-0.5
"csbnt","jsboln","BGR",-0.5
"csbnt","jsboln","BLT",-0.5
"csbnt","jsboln","BLX",-0.5
"csbnt","jsboln","BLZ",-0.5
"csbnt","jsboln","BOL",-0.5
"csbnt","jsboln","BRA",-0.5
"csbnt","jsboln","CAN",-0.5
"csbnt","jsboln","CHM",-0.5
"csbnt","jsboln","CHP",-0.5
"csbnt","jsboln","CMR",-0.5
"csbnt","jsboln","COL",-0.5
"csbnt","jsboln","CUB",-0.5
"csbnt","jsboln","CZE",-0.5
"csbnt","jsboln","DEU",-0.5
"csbnt","jsboln","ECU",-0.5
"csbnt","jsboln","EGY",-0.5
"csbnt","jsboln","ETH",-0.5
"csbnt","jsboln","FRP",-0.5
"csbnt","jsboln","GAB",-0.5
"csbnt","jsboln","GEO",-0.5
"csbnt","jsboln","GHA",-0.5
"csbnt","jsboln","GRC",-0.5
"csbnt","jsboln","GTM",-0.5
"csbnt","jsboln","HND",-0.5
"csbnt","jsboln","HRV",-0.5
"csbnt","jsboln","HUN",-0.5
"csbnt","jsboln","IND",-0.5
"csbnt","jsboln","IRN",-0.5
"csbnt","jsboln","IRQ",-0.5
"csbnt","jsboln","ITP",-0.5
"csbnt","jsboln","JPN",-0.5
"csbnt","jsboln","KAZ",-0.5
"csbnt","jsboln","KHM",-0.5
"csbnt","jsboln","KOR",-0.5
"csbnt","jsboln","LAO",-0.5
"csbnt","jsboln","LKA",-0.5
"csbnt","jsboln","MDA",-0.5
"csbnt","jsboln","MEX",-0.5
"csbnt","jsboln","MMR",-0.5
"csbnt","jsboln","MOR",-0.5
"csbnt","jsboln","MOZ",-0.5
"csbnt","jsboln","MWI",-0.5
"csbnt","jsboln","NGA",-0.5
"csbnt","jsboln","NIC",-0.5
"csbnt","jsboln","NPL",-0.5
"csbnt","jsboln","OBN",-0.5
"csbnt","jsboln","PAK",-0.5
"csbnt","jsboln","PER",-0.5
"csbnt","jsboln","PHL",-0.5
"csbnt","jsboln","POL",-0.5
"csbnt","jsboln","PRY",-0.5
"csbnt","jsboln","ROU",-0.5
"csbnt","jsboln","RUS",-0.5
"csbnt","jsboln","SPP",-0.5
"csbnt","jsboln","SVK",-0.5
"csbnt","jsboln","SYR",-0.5
"csbnt","jsboln","TGO",-0.5
"csbnt","jsboln","THA",-0.5
"csbnt","jsboln","TUR",-0.5
"csbnt","jsboln","UGA",-0.5
"csbnt","jsboln","UKR",-0.5
"csbnt","jsboln","URY",-0.5
"csbnt","jsboln","USA",-0.5
"csbnt","jsboln","UZB",-0.5
"csbnt","jsboln","VEN",-0.5
"csbnt","jsboln","VNM",-0.5
"csbnt","jsboln","ZAF",-0.5
"csbnt","jsboln","ZMB",-0.5
"csbnt","jsboln","ZWE",-0.5
"csnfl","jsfolt","AFG",-0.5
"csnfl","jsfolt","ALB",-0.5
"csnfl","jsfolt","AUS",-0.5
"csnfl","jsfolt","AUT",-0.5
"csnfl","jsfolt","AZE",-0.5
"csnfl","jsfolt","BLR",-0.5
"csnfl","jsfolt","BLX",-0.5
"csnfl","jsfolt","BRA",-0.5
"csnfl","jsfolt","CHL",-0.5
"csnfl","jsfolt","CHP",-0.5
"csnfl","jsfolt","CZE",-0.5
"csnfl","jsfolt","DEU",-0.5
"csnfl","jsfolt","DZA",-0.5
"csnfl","jsfolt","EGY",-0.5
"csnfl","jsfolt","GEO",-0.5
"csnfl","jsfolt","IND",-0.5
