"J","J_1","CTY","Val"
"jsfoln","jsfoln","BLR",1.65
"jsfoln","jsfoln","BLX",1.65
"jsfoln","jsfoln","BOL",1.65
"jsfoln","jsfoln","BRA",1.65
"jsfoln","jsfoln","CAN",1.65
"jsfoln","jsfoln","CHL",1.65
"jsfoln","jsfoln","CHM",1.65
"jsfoln","jsfoln","CHP",1.65
"jsfoln","jsfoln","CZE",1.65
"jsfoln","jsfoln","DEU",1.65
"jsfoln","jsfoln","DZA",1.65
"jsfoln","jsfoln","EGY",1.65
"jsfoln","jsfoln","FRP",1.65
"jsfoln","jsfoln","GEO",1.65
"jsfoln","jsfoln","GRC",1.65
"jsfoln","jsfoln","HRV",1.65
"jsfoln","jsfoln","HUN",1.65
"jsfoln","jsfoln","IND",1.65
"jsfoln","jsfoln","IRN",1.65
"jsfoln","jsfoln","IRQ",1.65
"jsfoln","jsfoln","ISR",1.65
"jsfoln","jsfoln","ITP",1.65
"jsfoln","jsfoln","KAZ",1.65
"jsfoln","jsfoln","KEN",1.65
"jsfoln","jsfoln","MDA",1.65
"jsfoln","jsfoln","MEX",1.65
"jsfoln","jsfoln","MMR",1.65
"jsfoln","jsfoln","MOR",1.65
"jsfoln","jsfoln","MOZ",1.65
"jsfoln","jsfoln","MWI",1.65
"jsfoln","jsfoln","OBN",1.65
"jsfoln","jsfoln","PAK",1.65
"jsfoln","jsfoln","POL",1.65
"jsfoln","jsfoln","PRT",1.65
"jsfoln","jsfoln","PRY",1.65
"jsfoln","jsfoln","ROU",1.65
"jsfoln","jsfoln","RUS",1.65
"jsfoln","jsfoln","SDN",1.65
"jsfoln","jsfoln","SPP",1.65
"jsfoln","jsfoln","SVK",1.65
"jsfoln","jsfoln","SYR",1.65
"jsfoln","jsfoln","THA",1.65
"jsfoln","jsfoln","TJK",1.65
"jsfoln","jsfoln","TUN",1.65
"jsfoln","jsfoln","TUR",1.65
"jsfoln","jsfoln","TZA",1.65
"jsfoln","jsfoln","UGA",1.65
"jsfoln","jsfoln","UKR",1.65
"jsfoln","jsfoln","URY",1.65
"jsfoln","jsfoln","USA",1.65
"jsfoln","jsfoln","UZB",1.65
"jsfoln","jsfoln","VEN",1.65
"jsfoln","jsfoln","ZAF",1.65
"jsfoln","jsfoln","ZMB",1.65
"jsfoln","jsfoln","ZWE",1.65
"jtooln","jtooln","AFG",1.65
"jtooln","jtooln","ALB",1.65
"jtooln","jtooln","ARG",1.65
"jtooln","jtooln","AUS",1.65
"jtooln","jtooln","AUT",1.65
"jtooln","jtooln","AZE",1.65
"jtooln","jtooln","BEN",1.65
"jtooln","jtooln","BGD",1.65
"jtooln","jtooln","BGR",1.65
"jtooln","jtooln","BLR",1.65
"jtooln","jtooln","BLX",1.65
"jtooln","jtooln","BRA",1.65
"jtooln","jtooln","CAF",1.65
"jtooln","jtooln","CAN",1.65
"jtooln","jtooln","CHL",1.65
"jtooln","jtooln","CHM",1.65
"jtooln","jtooln","CHP",1.65
"jtooln","jtooln","CIV",1.65
"jtooln","jtooln","CMR",1.65
"jtooln","jtooln","COL",1.65
"jtooln","jtooln","CRB",1.65
"jtooln","jtooln","CRI",1.65
"jtooln","jtooln","CYP",1.65
"jtooln","jtooln","CZE",1.65
"jtooln","jtooln","DOM",1.65
"jtooln","jtooln","DZA",1.65
"jtooln","jtooln","ECU",1.65
"jtooln","jtooln","EGY",1.65
"jtooln","jtooln","ETH",1.65
"jtooln","jtooln","FJI",1.65
"jtooln","jtooln","FNP",1.65
"jtooln","jtooln","FRP",1.65
"jtooln","jtooln","GHA",1.65
"jtooln","jtooln","GIN",1.65
"jtooln","jtooln","GNB",1.65
"jtooln","jtooln","GRC",1.65
"jtooln","jtooln","GSA",1.65
"jtooln","jtooln","GTM",1.65
"jtooln","jtooln","HND",1.65
"jtooln","jtooln","HRV",1.65
"jtooln","jtooln","HTI",1.65
"jtooln","jtooln","HUN",1.65
"jtooln","jtooln","IDN",1.65
"jtooln","jtooln","IND",1.65
"jtooln","jtooln","IRN",1.65
"jtooln","jtooln","IRQ",1.65
"jtooln","jtooln","ISR",1.65
"jtooln","jtooln","ITP",1.65
"jtooln","jtooln","JAM",1.65
"jtooln","jtooln","JOR",1.65
"jtooln","jtooln","KAZ",1.65
"jtooln","jtooln","KEN",1.65
"jtooln","jtooln","KHM",1.65
"jtooln","jtooln","KOR",1.65
"jtooln","jtooln","LBN",1.65
"jtooln","jtooln","LBY",1.65
"jtooln","jtooln","LKA",1.65
"jtooln","jtooln","MDG",1.65
"jtooln","jtooln","MEX",1.65
"jtooln","jtooln","MMR",1.65
"jtooln","jtooln","MOR",1.65
"jtooln","jtooln","MOZ",1.65
"jtooln","jtooln","MYS",1.65
"jtooln","jtooln","NGA",1.65
"jtooln","jtooln","NPL",1.65
"jtooln","jtooln","NZL",1.65
"jtooln","jtooln","OBN",1.65
"jtooln","jtooln","OPO",1.65
"jtooln","jtooln","PAK",1.65
"jtooln","jtooln","PAN",1.65
"jtooln","jtooln","PER",1.65
"jtooln","jtooln","PHL",1.65
"jtooln","jtooln","PNG",1.65
"jtooln","jtooln","POL",1.65
"jtooln","jtooln","PRT",1.65
"jtooln","jtooln","ROU",1.65
"jtooln","jtooln","RUS",1.65
"jtooln","jtooln","SAU",1.65
"jtooln","jtooln","SDN",1.65
"jtooln","jtooln","SLB",1.65
"jtooln","jtooln","SLV",1.65
"jtooln","jtooln","SOM",1.65
"jtooln","jtooln","SPP",1.65
"jtooln","jtooln","SVK",1.65
"jtooln","jtooln","SVN",1.65
"jtooln","jtooln","SWE",1.65
"jtooln","jtooln","SYR",1.65
"jtooln","jtooln","TGO",1.65
"jtooln","jtooln","THA",1.65
"jtooln","jtooln","TLS",1.65
"jtooln","jtooln","TUN",1.65
"jtooln","jtooln","TUR",1.65
"jtooln","jtooln","TZA",1.65
"jtooln","jtooln","UGA",1.65
"jtooln","jtooln","UKP",1.65
"jtooln","jtooln","UKR",1.65
"jtooln","jtooln","URY",1.65
"jtooln","jtooln","USA",1.65
"jtooln","jtooln","UZB",1.65
"jtooln","jtooln","VEN",1.65
"jtooln","jtooln","VNM",1.65
"jtooln","jtooln","VUT",1.65
"jtooln","jtooln","ZAF",1.65
"jtooln","jtooln","ZWE",1.65
"jgdolt","jgdolt","CRB",0.75
"jgdolt","jgdolt","CUB",0.75
"jgdolt","jgdolt","DZA",0.75
"jgdolt","jgdolt","IRQ",0.75
"jgdolt","jgdolt","LBN",0.75
